investor_name,investor_permalink,country_code,state_code,region,city,investment_count,funding_round_types,num_portfolio_companies
Invus Financial Advisors,/organization/invus-financial-advisors,,,,,4,private_equity|venture,3
Buildit,/organization/buildit,EST,18,EST - Other,Tartu,4,seed,4
NCI Gestion,/organization/nci-gestion,FRA,A6,,,4,venture,4
Qiming Ventures,/organization/qiming-ventures,,,,,4,venture,3
TRI Capital,/organization/tri-capital,GBR,U8,Edinburgh,Edinburgh,4,seed|venture,3
Quanta Computer,/organization/quanta-computer,,,,,4,venture,4
K1W1,/organization/k1w1,,,,,4,venture,3
Wasatch Venture Fund,/organization/wasatch-venture-fund,,,,,4,venture,4
Augustus Ventures Limited,/organization/augustus-ventures-limited,,,,,4,venture,2
Baring Private Equity Asia,/organization/baring-private-equity-asia,CHN,23,Shanghai,Shanghai,4,private_equity|undisclosed|venture,4
T2 Venture Creation,/organization/t2-venture-capital,USA,CA,SF Bay Area,Portola Valley,4,seed|undisclosed|venture,4
Iron Mountain,/organization/iron-mountain,USA,MA,Boston,Boston,4,venture,2
Tribune Media (former Tribune Company),/organization/tribunecompany,USA,IL,Chicago,Chicago,4,undisclosed|venture,3
Bonial International Group,/organization/bonial-international-group,DEU,16,Berlin,Berlin,4,venture,2
SMH Private Equity Group,/organization/smh-private-equity-group,USA,TX,Houston,Houston,4,venture,3
Joseph Ansanelli,/person/joseph-ansanelli,,,,,4,seed|venture,3
Mark Carges,/person/mark-carges,,,,,4,seed|venture,2
Roy Rubin,/person/roy-rubin,,,,,4,seed|venture,2
Tom Peterson,/person/tom-peterson,,,,,4,seed|venture,4
Jugoslav Petkovic,/person/jugoslav-petkovic,,,,,4,angel|seed,3
W.L. Ross & Co,/organization/w-l-ross-co,,,,,4,private_equity|venture,4
Research Triangle Ventures,/organization/research-triangle-ventures,USA,NC,Raleigh,Raleigh,4,venture,3
David Beyer,/person/david-beyer,,,,,4,angel|seed,4
Govtech Fund,/organization/govtech-fund,USA,CA,SF Bay Area,San Francisco,4,venture,4
TSG Equity Partners,/organization/tsg-equity-partners,USA,MA,Boston,Stow,4,venture,3
